,Open,High,Low,Close,Adj Close,Volume
2010-01-04,498.814208984375,498.814208984375,467.15545654296875,491.6824035644531,440.4219665527344,38323043
2010-01-05,525.6956176757812,525.6956176757812,487.0650329589844,489.4880065917969,438.4563903808594,10696412
2010-01-06,493.6939392089844,500.36859130859375,489.46514892578125,497.3970031738281,445.54083251953125,11845880
2010-01-07,497.3970031738281,509.740478515625,492.8253479003906,505.6488342285156,452.93231201171875,13098960
2010-01-08,506.5403137207031,509.19189453125,501.0543212890625,504.32305908203125,451.74481201171875,7555074
2010-01-11,518.7466430664062,525.6041870117188,480.0246887207031,494.4254150390625,442.8790283203125,94324821
2010-01-12,500.59716796875,519.935302734375,492.3681640625,495.72833251953125,444.0460510253906,16395254
2010-01-13,497.3970031738281,499.22564697265625,488.5279541015625,497.6712951660156,445.7864990234375,7680088
2010-01-14,496.482666015625,514.220703125,496.482666015625,512.8035278320312,459.3410949707031,12272814
2010-01-15,514.6778564453125,520.666748046875,505.1916809082031,507.7975158691406,454.8570251464844,9383308
2010-01-18,506.0831604003906,510.40338134765625,499.2027893066406,502.6544189453125,450.2500305175781,7086096
2010-01-19,502.88299560546875,505.6488342285156,494.951171875,496.0255126953125,444.3122863769531,6532333
2010-01-20,500.59716796875,501.5572204589844,490.08233642578125,492.59674072265625,441.2409362792969,9665512
2010-01-21,491.4538269042969,492.3681640625,480.13897705078125,481.8761901855469,431.6380920410156,9305660
2010-01-22,475.9101867675781,489.62518310546875,470.65277099609375,481.7847595214844,431.5561828613281,19934782
2010-01-25,479.8646545410156,482.03619384765625,473.9443664550781,476.39019775390625,426.7240295410156,6696638
2010-01-27,472.71002197265625,480.0246887207031,466.3096923828125,469.76129150390625,420.7862243652344,12421742
2010-01-28,475.4530029296875,478.4017333984375,468.59552001953125,474.15008544921875,424.7174987792969,16611729
2010-01-29,472.2071228027344,480.8475646972656,465.4410705566406,478.2874450683594,428.42352294921875,11666521
2010-02-01,474.3100891113281,482.3105163574219,473.4186096191406,477.9217224121094,428.0959167480469,6066432
2010-02-02,480.9389953613281,482.92767333984375,468.1840515136719,469.6470031738281,420.6838073730469,8624499
2010-02-03,471.38421630859375,479.293212890625,471.38421630859375,472.6871643066406,423.40704345703125,7526133
2010-02-04,474.5386657714844,474.5386657714844,463.5666809082031,465.92108154296875,417.34637451171875,5987301
2010-02-05,445.7372131347656,460.7093811035156,445.7372131347656,448.8002014160156,402.0104675292969,14941438
2010-02-08,450.3088684082031,459.155029296875,445.7372131347656,454.5833740234375,407.190673828125,12947466
2010-02-09,454.30908203125,456.25201416015625,449.25738525390625,454.0804748535156,406.7402038574219,7146015
2010-02-10,457.1206359863281,457.1206359863281,448.9373779296875,450.3545837402344,403.40277099609375,9130623
2010-02-11,452.2518310546875,466.21826171875,451.908935546875,464.0924377441406,415.7084655761719,11725051
2010-02-15,469.5098571777344,469.5098571777344,460.64080810546875,461.7380065917969,413.59942626953125,6749308
2010-02-16,461.7837219238281,466.766845703125,459.4521789550781,465.28106689453125,416.7730712890625,5034128
2010-02-17,468.59552001953125,474.4472351074219,467.24688720703125,472.047119140625,422.8337707519531,7815061
2010-02-18,470.88134765625,474.6986999511719,454.8805236816406,456.16058349609375,408.6034851074219,9917057
2010-02-19,454.8805236816406,454.8805236816406,446.7200927734375,449.4859619140625,402.62469482421875,8877267
2010-02-22,455.0176696777344,457.1663513183594,443.45135498046875,447.0858459472656,400.47479248046875,6346022
2010-02-23,445.280029296875,449.39453125,443.45135498046875,445.897216796875,399.41015625,6488467
2010-02-24,443.45135498046875,450.6288757324219,441.91986083984375,447.47442626953125,400.8229064941406,6243794
2010-02-25,448.0687561035156,450.3088684082031,438.4911193847656,440.2969055175781,394.3936767578125,9477031
2010-02-26,442.99420166015625,454.8805236816406,441.73699951171875,447.5429992675781,400.8843078613281,11289616
2010-03-02,450.3088684082031,456.7091979980469,447.74871826171875,449.4859619140625,402.62469482421875,9105298
2010-03-03,451.68035888671875,469.9670104980469,451.68035888671875,468.50408935546875,419.6600646972656,13311983
2010-03-04,475.4530029296875,475.4530029296875,460.8236999511719,463.5666809082031,415.2374267578125,10390609
2010-03-05,467.2240295410156,469.05267333984375,459.4978942871094,461.6465759277344,413.51751708984375,5887252
2010-03-08,466.8582763671875,469.5098571777344,458.0806884765625,459.0407409667969,411.18341064453125,5970649
2010-03-09,460.137939453125,462.5609130859375,451.7032165527344,452.75469970703125,405.55267333984375,8729760
2010-03-10,454.8805236816406,465.8067932128906,452.2746887207031,461.16656494140625,413.0875549316406,12403587
2010-03-11,461.7380065917969,466.3096923828125,460.36651611328125,464.6867370605469,416.2406921386719,7291886
2010-03-12,464.02386474609375,472.2528381347656,463.5666809082031,467.0411376953125,418.3496398925781,11166626
2010-03-15,467.2240295410156,471.7728271484375,463.1552429199219,469.9898681640625,420.9909973144531,9065850
2010-03-16,471.7956848144531,489.99090576171875,470.4241943359375,488.2308044433594,437.3302307128906,16999358
2010-03-17,491.3623962402344,494.882568359375,487.2478942871094,489.0308532714844,438.0469055175781,10799736
2010-03-18,490.9966735839844,494.47113037109375,486.4707336425781,492.3453063964844,441.0157775878906,7646212
2010-03-19,493.1910705566406,501.28289794921875,489.236572265625,499.24853515625,447.19927978515625,9868873
2010-03-22,485.51068115234375,502.4258117675781,485.51068115234375,490.97381591796875,439.78717041015625,10234241
2010-03-23,492.802490234375,500.11712646484375,492.3453063964844,498.95135498046875,446.93310546875,10002772
2010-03-25,501.0543212890625,501.5115051269531,492.551025390625,498.9742126464844,446.9535217285156,11483944
2010-03-26,501.5115051269531,507.9118347167969,500.6657409667969,503.0887145996094,450.6390686035156,9037758
2010-03-29,504.5744934082031,507.4317932128906,498.76849365234375,499.8199768066406,447.7111511230469,10124892
2010-03-30,501.0543212890625,505.48883056640625,495.1111755371094,497.465576171875,445.60223388671875,9469397
2010-03-31,499.6371154785156,500.59716796875,489.7623291015625,491.1109619140625,439.9100646972656,10823854
2010-04-01,492.8253479003906,502.1972351074219,492.3681640625,499.24853515625,447.19927978515625,6259988
2010-04-05,501.28289794921875,516.43798828125,501.28289794921875,514.7235717773438,461.06097412109375,9956467
2010-04-06,515.6836547851562,517.969482421875,512.1177368164062,513.4892578125,459.9553527832031,6240918
2010-04-07,514.3121337890625,525.6041870117188,513.4435424804688,516.4608154296875,462.6171569824219,10109287
2010-04-08,517.969482421875,519.569580078125,503.5687561035156,505.87744140625,453.13714599609375,7361714
2010-04-09,506.6317443847656,517.05517578125,506.6317443847656,514.1749877929688,460.569580078125,8413259
2010-04-12,523.4555053710938,523.4555053710938,513.23779296875,515.386474609375,461.6548156738281,6349892
2010-04-13,515.6836547851562,518.4266357421875,508.0489807128906,512.437744140625,459.01348876953125,6985640
2010-04-15,514.3121337890625,518.8380737304688,496.9626770019531,498.63134765625,446.6464538574219,12143459
2010-04-16,496.52838134765625,500.59716796875,489.6937561035156,495.6826171875,444.0050964355469,9096861
