Date,Open,High,Low,Close,Adj Close,Volume
2023-01-03,130.2799988,130.8999939,124.1699982,125.0699997,123.9046402,112117500
2023-01-04,126.8899994,128.6600037,125.0800018,126.3600006,125.1826096,89113600
2023-01-05,127.1299973,127.7699966,124.7600021,125.0199966,123.8550949,80962700
2023-01-06,126.0100021,130.2899933,124.8899994,129.6199951,128.4122314,87754700
2023-01-09,130.4700012,133.4100037,129.8899994,130.1499939,128.9373016,70790800
2023-01-10,130.2599945,131.2599945,128.1199951,130.7299957,129.5118713,63896200
2023-01-11,131.25,133.5099945,130.4600067,133.4900055,132.2461853,69458900
2023-01-12,133.8800049,134.2599945,131.4400024,133.4100037,132.1669312,71379600
2023-01-13,132.0299988,134.9199982,131.6600037,134.7599945,133.5043488,57809700
2023-01-17,134.8300018,137.2899933,134.1300049,135.9400024,134.6733551,63646600
2023-01-18,136.8200073,138.6100006,135.0299988,135.2100067,133.9501495,69672800
2023-01-19,134.0800018,136.25,133.7700043,135.2700043,134.0095978,58280400
2023-01-20,135.2799988,138.0200043,134.2200012,137.8699951,136.5853729,80223600
2023-01-23,138.1199951,143.3200073,137.8999939,141.1100006,139.795166,81760300
2023-01-24,140.3099976,143.1600037,140.3000031,142.5299988,141.2019196,66435100
2023-01-25,140.8899994,142.4299927,138.8099976,141.8600006,140.5381927,65799300
2023-01-26,143.1699982,144.25,141.8999939,143.9600067,142.6186218,54105100
2023-01-27,143.1600037,147.2299957,143.0800018,145.9299927,144.5702515,70555800
2023-01-30,144.9600067,145.5500031,142.8500061,143,141.667572,64015300
2023-01-31,142.6999969,144.3399963,142.2799988,144.2899933,142.9455566,65874500
2023-02-01,143.9700012,146.6100006,141.3200073,145.4299927,144.0749054,77663600
2023-02-02,148.8999939,151.1799927,148.1699982,150.8200073,149.4147186,118339000
2023-02-03,148.0299988,157.3800049,147.8300018,154.5,153.0604095,154357300
2023-02-06,152.5700073,153.1000061,150.7799988,151.7299957,150.3162079,69858300
2023-02-07,150.6399994,155.2299957,150.6399994,154.6499939,153.2089996,83322600
2023-02-08,153.8800049,154.5800018,151.1699982,151.9199982,150.5044403,64120100
2023-02-09,153.7799988,154.3300018,150.4199982,150.8699951,149.4642181,56007100
2023-02-10,149.4600067,151.3399963,149.2200012,151.0099945,149.8313446,57450700
2023-02-13,150.9499969,154.2599945,150.9199982,153.8500061,152.6491852,62199000
2023-02-14,152.1199951,153.7700043,150.8600006,153.1999969,152.0042419,61707600
2023-02-15,153.1100006,155.5,152.8800049,155.3300018,154.11763,65573800
2023-02-16,153.5099945,156.3300018,153.3500061,153.7100067,152.5102844,68167900
2023-02-17,152.3500061,153,150.8500061,152.5500031,151.3593292,59144100
2023-02-21,150.1999969,151.3000031,148.4100037,148.4799957,147.321106,58867200
2023-02-22,148.8699951,149.9499969,147.1600037,148.9100037,147.7477417,51011300
2023-02-23,150.0899963,150.3399963,147.2400055,149.3999939,148.233902,48394200
2023-02-24,147.1100006,147.1900024,145.7200012,146.7100067,145.5649261,55469600
2023-02-27,147.7100067,149.1699982,147.4499969,147.9199982,146.7654572,44998500
2023-02-28,147.0500031,149.0800018,146.8300018,147.4100037,146.2594452,50547000
2023-03-01,146.8300018,147.2299957,145.0099945,145.3099976,144.175827,55479000
2023-03-02,144.3800049,146.7100067,143.8999939,145.9100037,144.7711639,52238100
2023-03-03,148.0399933,151.1100006,147.3300018,151.0299988,149.851181,70732300
2023-03-06,153.7899933,156.3000031,153.4600067,153.8300018,152.629364,87558000
2023-03-07,153.6999969,154.0299988,151.1300049,151.6000061,150.4167633,56182000
2023-03-08,152.8099976,153.4700012,151.8300018,152.8699951,151.6768341,47204800
2023-03-09,153.5599976,154.5399933,150.2299957,150.5899963,149.4146271,53833600
2023-03-10,150.2100067,150.9400024,147.6100006,148.5,147.3409424,68572400
2023-03-13,147.8099976,153.1399994,147.6999969,150.4700012,149.295578,84457100
2023-03-14,151.2799988,153.3999939,150.1000061,152.5899963,151.3990021,73695900
2023-03-15,151.1900024,153.25,149.9199982,152.9900055,151.7958984,77167900
2023-03-16,152.1600037,156.4600067,151.6399994,155.8500061,154.6335754,76161100
2023-03-17,156.0800018,156.7400055,154.2799988,155,153.7902069,98944600
2023-03-20,155.0700073,157.8200073,154.1499939,157.3999939,156.1714783,73641400
2023-03-21,157.3200073,159.3999939,156.5399933,159.2799988,158.0368042,73938300
2023-03-22,159.3000031,162.1399994,157.8099976,157.8300018,156.5981293,75701800
2023-03-23,158.8300018,161.5500031,157.6799927,158.9299927,157.6895294,67622100
2023-03-24,158.8600006,160.3399963,157.8500061,160.25,158.9992218,59196500
2023-03-27,159.9400024,160.7700043,157.8699951,158.2799988,157.0445862,52390300
2023-03-28,157.9700012,158.4900055,155.9799957,157.6499939,156.4195099,45992200
2023-03-29,159.3699951,161.0500031,159.3500061,160.7700043,159.5151825,51305700
2023-03-30,161.5299988,162.4700012,161.2700043,162.3600006,161.0927582,49501700
2023-03-31,162.4400024,165,161.9100037,164.8999939,163.6129303,68749800
2023-04-03,164.2700043,166.2899933,164.2200012,166.1699982,164.8730011,56976200
2023-04-04,166.6000061,166.8399963,165.1100006,165.6300049,164.3372498,46278300
2023-04-05,164.7400055,165.0500031,161.8000031,163.7599945,162.4818268,51511700
2023-04-06,162.4299927,164.9600067,162,164.6600037,163.3748169,45390100
2023-04-10,161.4199982,162.0299988,160.0800018,162.0299988,160.7653351,47716900
2023-04-11,162.3500061,162.3600006,160.5099945,160.8000031,159.5449371,47644200
2023-04-12,161.2200012,162.0599976,159.7799988,160.1000061,158.8504028,50133100
2023-04-13,161.6300049,165.8000031,161.4199982,165.5599976,164.2677765,68445600
2023-04-14,164.5899963,166.3200073,163.8200073,165.2100067,163.9205017,49386500
2023-04-17,165.0899963,165.3899994,164.0299988,165.2299957,163.9403534,41516200
2023-04-18,166.1000061,167.4100037,165.6499939,166.4700012,165.1706848,49923000
2023-04-19,165.8000031,168.1600037,165.5399933,167.6300049,166.32164,47720200
2023-04-20,166.0899963,167.8699951,165.5599976,166.6499939,165.3492737,52456400
2023-04-21,165.0500031,166.4499969,164.4900055,165.0200043,163.7320099,58337300
2023-04-24,165,165.6000061,163.8899994,165.3300018,164.0395813,41949600
2023-04-25,165.1900024,166.3099976,163.7299957,163.7700043,162.491745,48714100
2023-04-26,163.0599976,165.2799988,162.8000031,163.7599945,162.4818268,45498800
2023-04-27,165.1900024,168.5599976,165.1900024,168.4100037,167.0955505,64902300
2023-04-28,168.4900055,169.8500061,167.8800049,169.6799927,168.3556213,55209200
2023-05-01,169.2799988,170.4499969,168.6399994,169.5899963,168.2663422,52472900
2023-05-02,170.0899963,170.3500061,167.5399933,168.5399933,167.2245178,48425700
2023-05-03,169.5,170.9199982,167.1600037,167.4499969,166.1430206,65136000
2023-05-04,164.8899994,167.0399933,164.3099976,165.7899933,164.4959869,81235400
2023-05-05,170.9799957,174.3000031,170.7599945,173.5700073,172.215271,113316400
2023-05-08,172.4799957,173.8500061,172.1100006,173.5,172.1457977,55962800
2023-05-09,173.0500031,173.5399933,171.6000061,171.7700043,170.4293213,45326900
2023-05-10,173.0200043,174.0299988,171.8999939,173.5599976,172.2053528,53724500
2023-05-11,173.8500061,174.5899963,172.1699982,173.75,172.3938446,49514700
2023-05-12,173.6199951,174.0599976,171,172.5700073,171.4598999,45497800
2023-05-15,173.1600037,173.2100067,171.4700012,172.0700073,170.9631348,37266700
2023-05-16,171.9900055,173.1399994,171.8000031,172.0700073,170.9631348,42110300
2023-05-17,171.7100067,172.9299927,170.4199982,172.6900024,171.5791321,57951600
2023-05-18,173,175.2400055,172.5800018,175.0500031,173.9239655,65496700
2023-05-19,176.3899994,176.3899994,174.9400024,175.1600037,174.0332336,55772400
